# time expDrag(X Y Z) totDrag(X Y Z)
0.1001 0 0 0 0 0 0
0.1002 0 0 0 0 0 0
0.1003 0 0 0 0 0 0
0.1004 0 0 0 0 0 0
0.1005 0 0 0 0 0 0
0.1006 1.78773255600625e-20 -5.47382042170604e-22 0.000515100431923178 -1.62345370009485e-05 -1.79426528799248e-05 0.000549397104964474
0.1007 1.78773255600625e-20 -5.47382042170604e-22 0.000515100431923178 -1.33015541578482e-05 -1.19080815871755e-05 0.000536476514659648
0.1008 1.78773255600625e-20 -5.47382042170604e-22 0.000515100431923178 -1.03331667961642e-05 -6.73553455436064e-06 0.000525597570751385
0.1009 1.78773255600625e-20 -5.47382042170604e-22 0.000515100431923178 -6.38339548745753e-06 -2.466767340496e-06 0.000517631572109885
0.101 1.78773255600625e-20 -5.47382042170604e-22 0.000515100431923178 -2.97739315124516e-06 1.12846225362574e-06 0.000511746679420705
0.1011 -8.20995954485231e-05 7.7131598719861e-05 0.0121964000701564 -0.000131935755459751 0.00013668296907245 0.0195241322127147
0.1012 -8.20995954485231e-05 7.7131598719861e-05 0.0121964000701564 -0.000124474808415473 0.000137319778130045 0.0192102956639876
0.1013 -8.20995954485231e-05 7.7131598719861e-05 0.0121964000701564 -0.000116770161614327 0.000137167576676631 0.0189293602525342
0.1014 -8.20995954485231e-05 7.7131598719861e-05 0.0121964000701564 -0.000109021410719148 0.000138082540486874 0.0186825626760883
0.1015 -8.20995954485231e-05 7.7131598719861e-05 0.0121964000701564 -0.000102208446357591 0.000139880056068496 0.0184684383109328
0.1016 -5.1874176359277e-05 5.66710413144695e-05 0.0112748165799612 -6.7009575623059e-05 8.96805791512401e-05 0.0175751424550974
0.1017 -5.1874176359277e-05 5.66710413144695e-05 0.0112748165799612 -6.34246046327871e-05 9.37874567625186e-05 0.0174363536971281
0.1018 -5.1874176359277e-05 5.66710413144695e-05 0.0112748165799612 -5.97869224513653e-05 9.77465351121718e-05 0.0173243624329269
0.1019 -5.1874176359277e-05 5.66710413144695e-05 0.0112748165799612 -5.67006053003013e-05 0.000102457250546248 0.0172363362979678
0.102 -5.1874176359277e-05 5.66710413144695e-05 0.0112748165799612 -5.39003773198275e-05 0.000107142043460318 0.0171694244957467
0.1021 -2.62693630237874e-05 4.7827864985568e-05 0.0110805869547459 -4.92491168638723e-05 9.14457674726296e-05 0.0181432502818566
0.1022 -2.62693630237874e-05 4.7827864985568e-05 0.0110805869547459 -4.69451662527323e-05 9.57225609304454e-05 0.018095607076907
