# t Fx Fy Fz
0.379 2.22242465250574e-08 2.22298216166995e-08 1.11174867827994e-05
0.38 2.22177574871066e-08 2.22233326606213e-08 1.11174347893271e-05
0.381 2.22113396302634e-08 2.2216914856476e-08 1.11173834678832e-05
0.382 2.22049928698009e-08 2.22105681567555e-08 1.11173328085996e-05
0.383 2.21987157789792e-08 2.22042911733978e-08 1.11172827657613e-05
0.384 2.21925041524756e-08 2.2198079662419e-08 1.11172333543768e-05
0.385 2.21863654402181e-08 2.21919409755663e-08 1.11171845997639e-05
0.386 2.21802923278694e-08 2.2185867905586e-08 1.11171364681574e-05
0.387 2.21742840656265e-08 2.21798597354399e-08 1.11170889150481e-05
0.388 2.21683418689716e-08 2.21739176649122e-08 1.11170419766933e-05
0.389 2.21624661127106e-08 2.21680419386394e-08 1.11169956558454e-05
0.39 2.21566558983139e-08 2.2162231750096e-08 1.11169499248737e-05
0.391 2.21509084187982e-08 2.21564843605904e-08 1.11169047219272e-05
0.392 2.21452250471999e-08 2.21508010912177e-08 1.11168601464234e-05
0.393 2.21396043079571e-08 2.21451804057116e-08 1.1116816109639e-05
0.394 2.21340427282794e-08 2.21396188607066e-08 1.11167726245735e-05
0.395 2.2128545430944e-08 2.21341216146835e-08 1.11167297080322e-05
0.396 2.2123106313736e-08 2.21286825971431e-08 1.11166873500334e-05
0.397 2.21177293658521e-08 2.21233057086938e-08 1.11166454819499e-05
0.398 2.21124095166207e-08 2.21179859436635e-08 1.1116604168338e-05
0.399 2.21071506487269e-08 2.21127271469911e-08 1.1116563383486e-05
0.4 2.21019499631144e-08 2.21075264751314e-08 1.11165231263162e-05
0.401 2.20968047452281e-08 2.21023813469305e-08 1.11164833442952e-05
0.402 2.20917175166175e-08 2.20972941738886e-08 1.11164440646816e-05
0.403 2.20866860465693e-08 2.20922627525154e-08 1.11164053391014e-05
0.404 2.20817092048531e-08 2.20872859876978e-08 1.11163670266865e-05
0.405 2.20767890361742e-08 2.20823658802794e-08 1.11163292364923e-05
0.406 2.20719236150759e-08 2.20775004990542e-08 1.11162919302422e-05
0.407 2.20671124753581e-08 2.20726894203751e-08 1.11162550946017e-05
0.408 2.20623527685935e-08 2.20679297756862e-08 1.11162186873435e-05
0.409 2.20576473799353e-08 2.20632244449615e-08 1.11161827858341e-05
0.41 2.20529935483664e-08 2.2058570688347e-08 1.1116147302497e-05
0.411 2.20483900963238e-08 2.20539672877388e-08 1.11161122841751e-05
0.412 2.20438399161223e-08 2.20494171402045e-08 1.1116077704714e-05
0.413 2.20393395601883e-08 2.20449168299071e-08 1.11160435399811e-05
0.414 2.20348889508056e-08 2.20404662986176e-08 1.11160098456077e-05
0.415 2.2030485697703e-08 2.20360631150861e-08 1.11159765510707e-05
0.416 2.20261338151109e-08 2.20317113008079e-08 1.11159436510217e-05
0.417 2.20218316427632e-08 2.20274091540663e-08 1.11159112255496e-05
0.418 2.20175736633178e-08 2.20231512681542e-08 1.111587918402e-05
0.419 2.20133668897573e-08 2.20189444737278e-08 1.11158475446403e-05
0.42 2.20092036638158e-08 2.20147813768257e-08 1.11158162608099e-05
0.421 2.20050894117701e-08 2.20106671630942e-08 1.11157854284179e-05
0.422 2.2001019344686e-08 2.20065971388901e-08 1.11157549569137e-05
0.423 2.19969945284161e-08 2.20025723897068e-08 1.11157248825869e-05
0.424 2.19930164108113e-08 2.19985943234432e-08 1.11156951609648e-05
0.425 2.19890821616706e-08 2.19946600855383e-08 1.11156658095702e-05
0.426 2.19851904639003e-08 2.199076846197e-08 1.11156368646584e-05
0.427 2.19813429481723e-08 2.1986920993017e-08 1.11156082701946e-05
0.428 2.19775380624294e-08 2.19831161652966e-08 1.11155800247924e-05
0.429 2.19737776949285e-08 2.19793558174669e-08 1.11155521427339e-05
0.43 2.1970056514714e-08 2.19756346917266e-08 1.11155246086954e-05
0.431 2.19663780778503e-08 2.19719563196635e-08 1.11154973817308e-05
0.432 2.19627434675288e-08 2.19683217022298e-08 1.11154705513219e-05
0.433 2.19591454306138e-08 2.19647237472836e-08 1.11154440285788e-05
0.434 2.19555904045484e-08 2.19611687692469e-08 1.11154178378098e-05
0.435 2.19520740931675e-08 2.19576525032653e-08 1.11153919884002e-05
0.436 2.19485994436068e-08 2.19541778743328e-08 1.11153664678563e-05
0.437 2.19451595197167e-08 2.19507380199061e-08 1.11153412690428e-05
0.438 2.19417581526457e-08 2.19473367327872e-08 1.11153163345856e-05
0.439 2.19383969764098e-08 2.19439755931143e-08 1.11152917859181e-05
0.44 2.19350738751794e-08 2.19406525300534e-08 1.11152674740557e-05
0.441 2.19317875413903e-08 2.19373662457406e-08 1.11152435366498e-05
0.442 2.19285387455462e-08 2.19341174867335e-08 1.11152198278505e-05
0.443 2.19253273793358e-08 2.19309061246987e-08 1.11151964784179e-05
0.444 2.19221497735871e-08 2.19277286055782e-08 1.11151733710291e-05
0.445 2.19190097472226e-08 2.19245886136847e-08 1.11151505679929e-05
0.446 2.19159057472888e-08 2.1921484615311e-08 1.11151280780875e-05
0.447 2.19128335932968e-08 2.19184125227305e-08 1.11151058469333e-05
0.448 2.19097979238289e-08 2.19153768816384e-08 1.11150838740685e-05
0.449 2.19067957961292e-08 2.19123748143782e-08 1.11150622257439e-05
0.45 2.19038270705759e-08 2.19094061121261e-08 1.11150408039959e-05
0.451 2.19008938682467e-08 2.19064729154506e-08 1.1115019654549e-05
0.452 2.18979931628716e-08 2.19035722766766e-08 1.11149987795563e-05
0.453 2.18951241512456e-08 2.19007033068774e-08 1.11149781732122e-05
0.454 2.18922870362706e-08 2.18978662272725e-08 1.11149578279719e-05
0.455 2.18894833928342e-08 2.18950626106998e-08 1.11149377365696e-05
0.456 2.18867092076229e-08 2.18922884691881e-08 1.11149178407297e-05
0.457 2.18839673350729e-08 2.18895466374251e-08 1.11148982710087e-05
0.458 2.18812572429398e-08 2.1886836586144e-08 1.11148788880336e-05
0.459 2.18785770685343e-08 2.18841564335251e-08 1.11148597811352e-05
0.46 2.18759264305766e-08 2.18815058398121e-08 1.11148408912845e-05
0.461 2.18733058902655e-08 2.18788853398212e-08 1.11148222505293e-05
0.462 2.18707166937034e-08 2.18762961639246e-08 1.11148038476688e-05
0.463 2.18681565446337e-08 2.18737360463304e-08 1.11147856689588e-05
0.464 2.18656256948956e-08 2.18712052110103e-08 1.1114767682143e-05
0.465 2.18631204267543e-08 2.18686999975672e-08 1.11147499535529e-05
0.466 2.18606462328788e-08 2.18662258427912e-08 1.11147324386342e-05
0.467 2.1858198964463e-08 2.18637786098415e-08 1.11147151248808e-05
0.468 2.18557814146889e-08 2.18613610493043e-08 1.11146980606063e-05
0.469 2.18533875530067e-08 2.18589672573873e-08 1.11146811900209e-05
0.47 2.1851023964431e-08 2.18566036942439e-08 1.11146645161069e-05
0.471 2.18486855861116e-08 2.18542653389709e-08 1.11146481098639e-05
0.472 2.18463746657591e-08 2.18519544667893e-08 1.11146318204106e-05
0.473 2.18440894487041e-08 2.18496692593995e-08 1.11146158157568e-05
0.474 2.18418296834536e-08 2.18474095520245e-08 1.11145999341013e-05
0.475 2.18395970983698e-08 2.1845176951888e-08 1.11145843071527e-05
0.476 2.18373880068163e-08 2.18429679146459e-08 1.11145688496041e-05
0.477 2.18352047831784e-08 2.18407847025344e-08 1.11145535930267e-05
0.478 2.18330474469202e-08 2.1838627414644e-08 1.11145385318435e-05
0.479 2.18309132563261e-08 2.18364932777251e-08 1.11145236291472e-05
0.48 2.18288035066287e-08 2.18343835361186e-08 1.11145089158257e-05
0.481 2.18267168530984e-08 2.18322969400301e-08 1.11144944153355e-05
0.482 2.1824656223951e-08 2.18302362715386e-08 1.11144800761884e-05
0.483 2.18226168607937e-08 2.18281970056807e-08 1.11144659168501e-05
0.484 2.18206024169497e-08 2.18261825252177e-08 1.11144519348866e-05
0.485 2.18186111202793e-08 2.18241912750255e-08 1.11144381028168e-05
0.486 2.1816639014591e-08 2.18222192118856e-08 1.1114424488643e-05
0.487 2.18146930023457e-08 2.18202732182915e-08 1.1114411025102e-05
0.488 2.18127678766686e-08 2.1818348119968e-08 1.11143977267044e-05
0.489 2.18108650827079e-08 2.18164453497117e-08 1.11143845927239e-05
0.49 2.18089837129509e-08 2.18145640070423e-08 1.11143716196324e-05
0.491 2.18071235316433e-08 2.18127038527044e-08 1.11143588045959e-05
0.492 2.18052843981668e-08 2.18108647443366e-08 1.11143461461586e-05
0.493 2.18034665223158e-08 2.18090469022211e-08 1.11143336464402e-05
0.494 2.18016683562596e-08 2.18072487577932e-08 1.11143213025796e-05
0.495 2.1799892823863e-08 2.18054732442365e-08 1.111430911279e-05
0.496 2.1798136217883e-08 2.18037166592221e-08 1.11142970714992e-05
0.497 2.17963999027742e-08 2.18019803515611e-08 1.11142851817694e-05
0.498 2.17946831732353e-08 2.18002636671737e-08 1.11142734434996e-05
0.499 2.17929875710275e-08 2.17985680755702e-08 1.11142618463099e-05
0.5 2.17913107801426e-08 2.17968913104747e-08 1.11142503905135e-05
0.501 2.17896503026131e-08 2.17952308524348e-08 1.11142390776287e-05
0.502 2.1788012571599e-08 2.17935931422964e-08 1.11142279031755e-05
0.503 2.17863907564001e-08 2.17919713473835e-08 1.11142168680511e-05
0.504 2.17847887748329e-08 2.17903694047421e-08 1.11142059676892e-05
0.505 2.17832054731597e-08 2.17887860973455e-08 1.1114195204072e-05
0.506 2.17816395926996e-08 2.17872202588494e-08 1.11141845775465e-05
0.507 2.178009191872e-08 2.17856726143647e-08 1.11141740785868e-05
0.508 2.17785625584759e-08 2.17841432383693e-08 1.11141637108757e-05
0.509 2.17770493542492e-08 2.17826300864011e-08 1.11141534745737e-05
0.51 2.17755544059312e-08 2.17811351683711e-08 1.11141433605773e-05
0.511 2.17740773637361e-08 2.17796580942411e-08 1.11141333722225e-05
0.512 2.17726150161769e-08 2.17781958120354e-08 1.111412350967e-05
0.513 2.1771171093694e-08 2.17767519177739e-08 1.11141137648354e-05
0.514 2.1769744346823e-08 2.17753251337036e-08 1.11141041406712e-05
0.515 2.17683316330656e-08 2.17739124859584e-08 1.11140946375849e-05
0.516 2.17669368352424e-08 2.17725177139724e-08 1.11140852482989e-05
0.517 2.1765558450205e-08 2.17711392997041e-08 1.11140759756061e-05
0.518 2.17641952699804e-08 2.17697761445969e-08 1.11140668189036e-05
0.519 2.17628475687571e-08 2.17684284593379e-08 1.11140577768262e-05
0.52 2.176151535828e-08 2.17670962643721e-08 1.11140488460545e-05
0.521 2.17601984564011e-08 2.17657793793084e-08 1.11140400257495e-05
0.522 2.17588966738841e-08 2.17644776130774e-08 1.11140313147828e-05
0.523 2.17576079872243e-08 2.17631889852198e-08 1.11140227119899e-05
0.524 2.17563365957137e-08 2.1761917621264e-08 1.11140142108523e-05
0.525 2.17550801746307e-08 2.17606611578975e-08 1.11140058163049e-05
0.526 2.17538357076915e-08 2.17594167568083e-08 1.11139975262044e-05
0.527 2.17526074553033e-08 2.17581885265678e-08 1.11139893348894e-05
0.528 2.17513926316298e-08 2.17569737264529e-08 1.11139812473367e-05
0.529 2.17501919536242e-08 2.17557730634417e-08 1.11139732597237e-05
0.53 2.17490051785578e-08 2.17545863035468e-08 1.11139653704378e-05
0.531 2.17478320273264e-08 2.17534131682975e-08 1.11139575788113e-05
0.532 2.17466723498161e-08 2.17522535070291e-08 1.11139498838123e-05
0.533 2.17455260113132e-08 2.17511071851369e-08 1.11139422841074e-05
0.534 2.17443928674198e-08 2.17499740580602e-08 1.11139347782829e-05
0.535 2.17432727726977e-08 2.17488539800743e-08 1.11139273649629e-05
0.536 2.17421655841526e-08 2.17477468079657e-08 1.11139200428339e-05
0.537 2.17410711602983e-08 2.17466524000693e-08 1.11139128106303e-05
0.538 2.17399893596968e-08 2.17455706148101e-08 1.11139056671327e-05
0.539 2.17389216817001e-08 2.17445028721e-08 1.111389860765e-05
0.54 2.17378645895032e-08 2.17434458181462e-08 1.11138916360359e-05
0.541 2.17368196343713e-08 2.17424008768923e-08 1.11138847519955e-05
0.542 2.17357868652719e-08 2.17413681214689e-08 1.11138779520571e-05
0.543 2.17347660001765e-08 2.17403472720393e-08 1.11138712355183e-05
0.544 2.17337568995471e-08 2.17393381865619e-08 1.11138646019733e-05
0.545 2.17327594542346e-08 2.17383407556118e-08 1.11138580505855e-05
0.546 2.17317737332569e-08 2.17373550461412e-08 1.1113851581087e-05
0.547 2.17307992135874e-08 2.17363805403064e-08 1.11138451909295e-05
0.548 2.1729835968195e-08 2.17354173066632e-08 1.11138388795181e-05
0.549 2.17288836510082e-08 2.17344650042993e-08 1.11138326454425e-05
0.55 2.17279424886605e-08 2.17335238524575e-08 1.11138264888557e-05
0.551 2.17270122534514e-08 2.17325936289951e-08 1.11138204081902e-05
0.552 2.17260927477285e-08 2.17316741348214e-08 1.11138144021014e-05
0.553 2.17251838642021e-08 2.1730765262699e-08 1.11138084696763e-05
0.554 2.17242854821165e-08 2.17298668921729e-08 1.11138026099462e-05
0.555 2.17233974781222e-08 2.17289788999511e-08 1.1113796821958e-05
0.556 2.17225197333773e-08 2.17281011672157e-08 1.11137911048016e-05
0.557 2.17216521313336e-08 2.17272335774094e-08 1.11137854576015e-05
0.558 2.17207945574345e-08 2.17263760159501e-08 1.11137798795186e-05
0.559 2.17199468992551e-08 2.1725528370339e-08 1.11137743697501e-05
0.56 2.17191090462212e-08 2.17246905299073e-08 1.11137689275231e-05
0.561 2.17182808892554e-08 2.1723862385471e-08 1.11137635520862e-05
0.562 2.17174624844466e-08 2.17230439911999e-08 1.11137582433572e-05
0.563 2.171665202203e-08 2.1722233574416e-08 1.11137530006025e-05
0.564 2.17158527995272e-08 2.17214343706501e-08 1.11137478210373e-05
0.565 2.17150622476848e-08 2.17206438288968e-08 1.11137427057252e-05
0.566 2.17142822190253e-08 2.1719863752842e-08 1.11137376536926e-05
0.567 2.17135084972311e-08 2.17190900917908e-08 1.11137326652375e-05
0.568 2.17127455372498e-08 2.17183271513127e-08 1.11137277369171e-05
0.569 2.17119922741653e-08 2.17175738391223e-08 1.11137228700987e-05
0.57 2.17112465552561e-08 2.17168281446654e-08 1.11137180621867e-05
0.571 2.17105093722792e-08 2.1716090970943e-08 1.11137133119127e-05
0.572 2.17097809065238e-08 2.1715362513009e-08 1.1113708620362e-05
0.573 2.17090608797252e-08 2.17146424969841e-08 1.11137039864144e-05
0.574 2.17083491733387e-08 2.17139308012141e-08 1.1113699408705e-05
0.575 2.17076457146522e-08 2.17132273534354e-08 1.11136948866177e-05
0.576 2.17069505481503e-08 2.17125321967075e-08 1.11136904202322e-05
0.577 2.17062618904783e-08 2.17118435841084e-08 1.1113686009166e-05
0.578 2.17055832580275e-08 2.17111649652477e-08 1.11136816509733e-05
0.579 2.17049128649098e-08 2.17104945317644e-08 1.11136773474936e-05
0.58 2.17042480376374e-08 2.17098297565368e-08 1.11136730977478e-05
0.581 2.17035925852254e-08 2.17091743171708e-08 1.11136688985747e-05
0.582 2.17029452841084e-08 2.17085269799991e-08 1.1113664752051e-05
0.583 2.17023033747882e-08 2.17078851192249e-08 1.11136606575496e-05
0.584 2.17016704360334e-08 2.17072521949969e-08 1.11136566120952e-05
0.585 2.17010455483073e-08 2.17066272672035e-08 1.11136526171852e-05
0.586 2.17004255058147e-08 2.17060072779143e-08 1.11136486721367e-05
0.587 2.16998144855464e-08 2.1705396272678e-08 1.11136447738345e-05
0.588 2.16992113463425e-08 2.17047930836408e-08 1.11136409240354e-05
0.589 2.16986140821376e-08 2.17041958411988e-08 1.11136371206684e-05
0.59 2.16980235982375e-08 2.17036053654887e-08 1.11136333623445e-05
0.591 2.16974401305966e-08 2.17030219052512e-08 1.1113629649968e-05
0.592 2.16968635423333e-08 2.17024453262118e-08 1.11136259833331e-05
0.593 2.16962919857395e-08 2.17018738155495e-08 1.11136223618432e-05
0.594 2.16957293920516e-08 2.17013112301805e-08 1.11136187832396e-05
0.595 2.1695173479742e-08 2.17007552805812e-08 1.1113615249412e-05
0.596 2.16946220087876e-08 2.17002038565405e-08 1.11136117596056e-05
0.597 2.16940785235762e-08 2.16996603809508e-08 1.11136083112419e-05
0.598 2.16935417321389e-08 2.1699123559784e-08 1.11136049060719e-05
0.599 2.16930094875708e-08 2.16985913546539e-08 1.11136015435696e-05
0.6 2.169248469159e-08 2.16980665703919e-08 1.11135982217327e-05
0.601 2.16919664794408e-08 2.16975483285896e-08 1.11135949412828e-05
0.602 2.16914525019188e-08 2.16970343904153e-08 1.11135917012587e-05
0.603 2.16909458252237e-08 2.16965277259605e-08 1.11135885005025e-05
0.604 2.16904455337739e-08 2.16960274015767e-08 1.11135853393037e-05
0.605 2.16899491556688e-08 2.16955310661281e-08 1.11135822175804e-05
0.606 2.16894600614876e-08 2.16950419841105e-08 1.11135791330429e-05
0.607 2.16889772789564e-08 2.16945591614739e-08 1.11135760867414e-05
0.608 2.16884977902325e-08 2.16940797227811e-08 1.11135730781619e-05
0.609 2.16880257356252e-08 2.16936076795658e-08 1.11135701048739e-05
0.61 2.16875597805653e-08 2.16931416782112e-08 1.1113567168414e-05
0.611 2.16870966834535e-08 2.16926786363211e-08 1.11135642683767e-05
0.612 2.16866410709766e-08 2.16922230339182e-08 1.1113561402157e-05
0.613 2.16861912772631e-08 2.16917731928413e-08 1.11135585714285e-05
0.614 2.16857441876444e-08 2.16913261582681e-08 1.11135557758003e-05
0.615 2.16853043766303e-08 2.16908863560119e-08 1.11135530127758e-05
0.616 2.16848700910545e-08 2.16904520276424e-08 1.11135502840138e-05
0.617 2.16844386325946e-08 2.16900206186257e-08 1.11135475890876e-05
0.618 2.16840139967182e-08 2.16895959906241e-08 1.11135449257947e-05
0.619 2.16835946264678e-08 2.16891765857499e-08 1.11135422956299e-05
0.62 2.16831783453528e-08 2.16887603454721e-08 1.1113539698133e-05
0.621 2.16827692485821e-08 2.16883512106361e-08 1.11135371322421e-05
0.622 2.16823623030483e-08 2.16879443162323e-08 1.11135345981174e-05
0.623 2.16819626070334e-08 2.16875445820822e-08 1.11135320949763e-05
0.624 2.16815655017465e-08 2.16871475218114e-08 1.11135296226519e-05
0.625 2.16811750504394e-08 2.16867570394333e-08 1.11135271804537e-05
0.626 2.16807868308536e-08 2.16863688648212e-08 1.11135247685143e-05
0.627 2.16804055334855e-08 2.16859875299408e-08 1.11135223861151e-05
0.628 2.16800266140084e-08 2.16856086549236e-08 1.11135200332433e-05
0.629 2.16796542048718e-08 2.16852362129811e-08 1.11135177089122e-05
0.63 2.16792836395596e-08 2.16848656952943e-08 1.11135154132825e-05
0.631 2.16789193050813e-08 2.16845013655572e-08 1.11135131450945e-05
0.632 2.167855955278e-08 2.16841415790804e-08 1.11135109043313e-05
0.633 2.16782018453334e-08 2.16837839148536e-08 1.11135086910227e-05
0.634 2.16778501179114e-08 2.16834321946466e-08 1.11135065044456e-05
0.635 2.16775028754664e-08 2.16830849151479e-08 1.11135043447671e-05
0.636 2.16771576893337e-08 2.16827397718072e-08 1.11135022114496e-05
0.637 2.16768181579305e-08 2.16824002471885e-08 1.11135001030212e-05
0.638 2.16764829615128e-08 2.16820650169049e-08 1.11134980209492e-05
0.639 2.16761499230994e-08 2.1681732017557e-08 1.11134959648047e-05
0.64 2.16758229510681e-08 2.16814050076653e-08 1.11134939328985e-05
0.641 2.16754973482344e-08 2.16810794519674e-08 1.11134919254928e-05
0.642 2.16751779062707e-08 2.16807599741167e-08 1.11134899431425e-05
0.643 2.16748602516235e-08 2.1680442362428e-08 1.11134879860153e-05
0.644 2.1674548261486e-08 2.16801303394204e-08 1.1113486051954e-05
0.645 2.16742377753376e-08 2.16798198944813e-08 1.11134841410199e-05
0.646 2.16739329705318e-08 2.16795150587278e-08 1.11134822539654e-05
0.647 2.16736299767934e-08 2.1679212103145e-08 1.11134803909684e-05
0.648 2.16733323165762e-08 2.1678914413247e-08 1.11134785500384e-05
0.649 2.16730361253811e-08 2.16786182606293e-08 1.11134767312386e-05
0.65 2.16727454364112e-08 2.16783275398012e-08 1.11134749349651e-05
0.651 2.16724563022088e-08 2.1678038444803e-08 1.11134731613905e-05
0.652 2.1672172464713e-08 2.16777545750885e-08 1.11134714088043e-05
0.653 2.16718898078217e-08 2.16774719592677e-08 1.11134696773254e-05
0.654 2.16716126590083e-08 2.16771947747245e-08 1.11134679671061e-05
0.655 2.16713367064897e-08 2.1676918865007e-08 1.11134662783956e-05
0.656 2.16710661006717e-08 2.16766482229485e-08 1.11134646096048e-05
0.657 2.16707963572595e-08 2.1676378524064e-08 1.11134629609113e-05
0.658 2.16705321115908e-08 2.16761142395506e-08 1.11134613323051e-05
0.659 2.16702687926818e-08 2.16758509658074e-08 1.11134597240933e-05
0.66 2.1670010746719e-08 2.16755928822567e-08 1.11134581348545e-05
0.661 2.16697534176082e-08 2.1675335598116e-08 1.11134565648058e-05
0.662 2.16695013893573e-08 2.16750835318182e-08 1.11134550138272e-05
0.663 2.16692502287777e-08 2.167483241483e-08 1.11134534822211e-05
0.664 2.16690040668235e-08 2.16745862179608e-08 1.11134519687504e-05
0.665 2.1668758681879e-08 2.16743408745064e-08 1.11134504735983e-05
0.666 2.16685182199727e-08 2.16741003790084e-08 1.11134489966223e-05
0.667 2.16682787442215e-08 2.16738609418112e-08 1.11134475380455e-05
0.668 2.16680427721706e-08 2.16736249689087e-08 1.11134460983399e-05
0.669 2.16678102251974e-08 2.16733924335036e-08 1.11134446736591e-05
0.67 2.16675791269163e-08 2.16731613343536e-08 1.11134432678067e-05
0.671 2.16673528225384e-08 2.16729349918208e-08 1.11134418789551e-05
0.672 2.16671273331472e-08 2.16727095430862e-08 1.11134405074439e-05
0.673 2.16669051592094e-08 2.16724873683961e-08 1.11134391536777e-05
0.674 2.16666854714572e-08 2.16722676972883e-08 1.1113437813478e-05
0.675 2.16664673196546e-08 2.16720495446088e-08 1.11134364911207e-05
0.676 2.16662555165674e-08 2.16718377036587e-08 1.11134351847658e-05
0.677 2.16660423833523e-08 2.16716245975378e-08 1.1113433895055e-05
0.678 2.16658336884987e-08 2.16714159022722e-08 1.11134326210021e-05
0.679 2.16656252092291e-08 2.16712074697098e-08 1.11134313625108e-05
0.68 2.16654214987824e-08 2.16710037163872e-08 1.11134301179343e-05
0.681 2.16652184951122e-08 2.16708007533468e-08 1.11134288898817e-05
0.682 2.16650194013049e-08 2.16706015989128e-08 1.11134276767289e-05
0.683 2.16648213662964e-08 2.16704036062735e-08 1.1113426478126e-05
0.684 2.16646262761905e-08 2.16702085155089e-08 1.11134252950244e-05
0.685 2.16644343206743e-08 2.16700165364662e-08 1.11134241249385e-05
0.686 2.16642419832715e-08 2.16698242430827e-08 1.11134229691281e-05
0.687 2.16640547654248e-08 2.16696369764695e-08 1.11134218273326e-05
0.688 2.16638685986931e-08 2.16694508479359e-08 1.11134207001929e-05
0.689 2.16636854255199e-08 2.1669267656821e-08 1.11134195857626e-05
0.69 2.16635018140114e-08 2.16690840849716e-08 1.11134184851277e-05
0.691 2.1663323373219e-08 2.16689055915448e-08 1.11134173978131e-05
0.692 2.16631459116619e-08 2.1668728169283e-08 1.111341632447e-05
0.693 2.16629710763898e-08 2.16685533333893e-08 1.111341526497e-05
0.694 2.16627965434792e-08 2.16683788326267e-08 1.11134142149967e-05
0.695 2.16626258820314e-08 2.1668208113618e-08 1.11134131790303e-05
0.696 2.1662456627001e-08 2.16680388951731e-08 1.11134121569697e-05
0.697 2.16622902316086e-08 2.16678724780527e-08 1.11134111462282e-05
0.698 2.16621228681314e-08 2.16677051585525e-08 1.1113410148101e-05
0.699 2.16619606362619e-08 2.16675428726343e-08 1.11134091621159e-05
0.7 2.16617994025666e-08 2.16673816768588e-08 1.11134081890065e-05
0.701 2.16616403882928e-08 2.1667222652444e-08 1.11134072265391e-05
0.702 2.1661480844818e-08 2.16670631428866e-08 1.11134062759399e-05
0.703 2.16613262576913e-08 2.16669085018981e-08 1.11134053370817e-05
0.704 2.16611725724663e-08 2.16667548543457e-08 1.11134044109122e-05
0.705 2.16610208736977e-08 2.16666031477668e-08 1.11134034948286e-05
0.706 2.16608685095557e-08 2.16664508171409e-08 1.11134025901527e-05
0.707 2.16607225107784e-08 2.16663047747073e-08 1.11134016963691e-05
0.708 2.1660573636419e-08 2.16661559511829e-08 1.11134008151282e-05
0.709 2.16604294410121e-08 2.16660117416405e-08 1.11133999426989e-05
0.71 2.16602856264847e-08 2.16658679266256e-08 1.11133990818364e-05
0.711 2.16601438234849e-08 2.16657261231575e-08 1.11133982320654e-05
0.712 2.1660004000741e-08 2.16655862999639e-08 1.11133973932403e-05
0.713 2.16598658576745e-08 2.16654481694585e-08 1.11133965622564e-05
0.714 2.16597283990826e-08 2.1665310710263e-08 1.11133957424805e-05
0.715 2.16595945138081e-08 2.16651767876085e-08 1.11133949321835e-05
0.716 2.16594605358764e-08 2.16650428465495e-08 1.11133941321317e-05
0.717 2.16593285761726e-08 2.16649108863645e-08 1.111339334239e-05
0.718 2.16591990624859e-08 2.16647813460843e-08 1.11133925614482e-05
0.719 2.16590684198947e-08 2.16646507487342e-08 1.11133917905056e-05
0.72 2.16589436625918e-08 2.16645259504967e-08 1.11133910274941e-05
0.721 2.16588167396447e-08 2.16643990485685e-08 1.11133902743405e-05
0.722 2.16586930768665e-08 2.16642753856093e-08 1.11133895301341e-05
0.723 2.16585689487455e-08 2.16641513004318e-08 1.1113388795482e-05
0.724 2.16584483936899e-08 2.16640307049313e-08 1.11133880686564e-05
0.725 2.16583276532853e-08 2.16639099996009e-08 1.11133873513719e-05
0.726 2.16582096739557e-08 2.16637919652236e-08 1.11133866423226e-05
0.727 2.1658092251542e-08 2.16636746094138e-08 1.11133859419586e-05
0.728 2.16579767427602e-08 2.16635590664438e-08 1.11133852496095e-05
0.729 2.16578627338324e-08 2.16634450572904e-08 1.11133845662288e-05
0.73 2.16577503139128e-08 2.16633326371571e-08 1.11133838916341e-05
0.731 2.16576371068454e-08 2.16632194703097e-08 1.11133832252524e-05
0.732 2.1657527190719e-08 2.16631095168508e-08 1.11133825656102e-05
0.733 2.1657418673584e-08 2.16630009996326e-08 1.11133819145278e-05
0.734 2.16573089915981e-08 2.16628913491095e-08 1.11133812726708e-05
0.735 2.16572052717341e-08 2.16627875780937e-08 1.11133806372043e-05
0.736 2.16570971501612e-08 2.16626795164741e-08 1.11133800111154e-05
0.737 2.1656995801143e-08 2.16625781112515e-08 1.1113379391028e-05
0.738 2.1656890238803e-08 2.16624726083485e-08 1.11133787802985e-05
0.739 2.16567915077507e-08 2.16623738189727e-08 1.11133781752327e-05
0.74 2.1656688412425e-08 2.16622707839884e-08 1.11133775793122e-05
0.741 2.16565919913007e-08 2.1662174305686e-08 1.11133769888803e-05
0.742 2.16564911821326e-08 2.16620735570362e-08 1.1113376407509e-05
0.743 2.16563971316514e-08 2.16619794482561e-08 1.11133758314656e-05
0.744 2.16562986299062e-08 2.1661881007429e-08 1.1113375264286e-05
0.745 2.16562069162733e-08 2.16617892347658e-08 1.11133747021417e-05
0.746 2.16561105878896e-08 2.16616929686908e-08 1.11133741486498e-05
0.747 2.16560211747226e-08 2.16616034948225e-08 1.11133735999355e-05
0.748 2.1655926945137e-08 2.1661509329435e-08 1.11133730597618e-05
0.749 2.16558381732575e-08 2.1661420529341e-08 1.11133725244378e-05
0.75 2.16557490437356e-08 2.16613313995403e-08 1.11133719963915e-05
0.751 2.16556611611734e-08 2.16612435167107e-08 1.1113371475133e-05
0.752 2.16555745062067e-08 2.16611568614877e-08 1.11133709605735e-05
0.753 2.16554890598336e-08 2.1661071414869e-08 1.11133704526251e-05
0.754 2.16554024590983e-08 2.16609848383609e-08 1.11133699477538e-05
0.755 2.16553192300018e-08 2.16609015616188e-08 1.11133694497188e-05
0.756 2.16552362049418e-08 2.16608185689685e-08 1.11133689588748e-05
