# t Fx Fy Fz
0.04 2.36972479760102e-08 2.37040464853574e-08 1.17006415619241e-05
0.041 2.4017399151079e-08 2.40241812299793e-08 1.16886051847553e-05
0.042 2.43255777433815e-08 2.43323431339502e-08 1.16768637740046e-05
0.043 2.46220988293476e-08 2.46288472866677e-08 1.16654089958816e-05
0.044 2.49072699254206e-08 2.49140012807966e-08 1.16542327642586e-05
0.045 2.51813960906192e-08 2.51881101645792e-08 1.16433272567717e-05
0.046 2.5444775429964e-08 2.54514720840755e-08 1.16326848891592e-05
0.047 2.56976999550957e-08 2.57043790778126e-08 1.16222983129518e-05
0.048 2.59404557088234e-08 2.59471172136948e-08 1.16121604070274e-05
0.049 2.6173322800713e-08 2.61799666248902e-08 1.16022642701045e-05
0.05 2.63965754504962e-08 2.64032015533075e-08 1.15926032134719e-05
0.051 2.6610482036707e-08 2.66170903982846e-08 1.15831707539697e-05
0.052 2.68153051499215e-08 2.68218957699164e-08 1.15739606072134e-05
0.053 2.70113016502041e-08 2.70178745465346e-08 1.15649666810513e-05
0.054 2.7198722728221e-08 2.72052779359162e-08 1.15561830692488e-05
0.055 2.73778139697578e-08 2.73843515398243e-08 1.15476040453905e-05
0.056 2.75488154231534e-08 2.7555335421516e-08 1.15392240569918e-05
0.057 2.77119616694105e-08 2.77184641759081e-08 1.15310377198143e-05
0.058 2.78674818946726e-08 2.7873967002096e-08 1.15230398123754e-05
0.059 2.80155999648161e-08 2.80220677779945e-08 1.15152252706476e-05
0.06 2.81565329531785e-08 2.81629835868381e-08 1.15075891820357e-05
0.061 2.82904974883591e-08 2.8296931070497e-08 1.15001267839369e-05
0.062 2.84177003428315e-08 2.84241170090471e-08 1.14928334539199e-05
0.063 2.85383448566265e-08 2.85447447516696e-08 1.14857047082558e-05
0.064 2.8652629467236e-08 2.86590127440153e-08 1.14787361968127e-05
0.065 2.87607477715891e-08 2.8767114590475e-08 1.14719236987055e-05
0.066 2.88628886083049e-08 2.88692391364891e-08 1.14652631181373e-05
0.067 2.89592361412596e-08 2.89655705521725e-08 1.14587504803834e-05
0.068 2.90499699434846e-08 2.90562884162136e-08 1.14523819279118e-05
0.069 2.91352650812773e-08 2.9141567800047e-08 1.14461537166347e-05
0.07 2.92152921983696e-08 2.9221579352019e-08 1.1440062212287e-05
0.071 2.92902175999999e-08 2.92964893815091e-08 1.14341038869269e-05
0.072 2.93602031805525e-08 2.93664598044296e-08 1.1428275309942e-05
0.073 2.94254071737421e-08 2.94316488038932e-08 1.14225731684834e-05
0.074 2.94859831097989e-08 2.94922099672344e-08 1.14169942258217e-05
0.075 2.95420808415622e-08 2.95482931314135e-08 1.14115353477113e-05
0.076 2.95938462339783e-08 2.96000441635907e-08 1.14061934892974e-05
0.077 2.96414213095042e-08 2.96476050879864e-08 1.14009656934148e-05
0.078 2.96849443303306e-08 2.96911141682381e-08 1.13958490878071e-05
0.079 2.97245498784403e-08 2.97307059874593e-08 1.13908408824631e-05
0.08 2.97603689349046e-08 2.9766511527581e-08 1.1385938367042e-05
0.081 2.97925289583284e-08 2.97986582478013e-08 1.13811389083846e-05
0.082 2.98211539624106e-08 2.98272701621614e-08 1.13764399481065e-05
0.083 2.98463645925489e-08 2.98524679161632e-08 1.13718390002715e-05
0.084 2.98682782014605e-08 2.98743688624014e-08 1.13673336491423e-05
0.085 2.98870127647514e-08 2.98930909421357e-08 1.13629215669308e-05
0.086 2.99026792127922e-08 2.99087451184949e-08 1.13586004751415e-05
0.087 2.99153853744528e-08 2.99214392180776e-08 1.13543681555343e-05
0.088 2.99252362237574e-08 2.99312782139148e-08 1.13502224522889e-05
0.089 2.99323338033197e-08 2.993836414764e-08 1.13461612695543e-05
0.09 2.99367772872736e-08 2.99427961922793e-08 1.13421825696177e-05
0.091 2.99386630492019e-08 2.99446707201604e-08 1.13382843711318e-05
0.092 2.9938084729263e-08 2.99440813700712e-08 1.13344647473958e-05
0.093 2.9935134395493e-08 2.99411202152883e-08 1.13307218118863e-05
0.094 2.99299015490357e-08 2.99358767497289e-08 1.1327053728851e-05
0.095 2.9922471966366e-08 2.99284367443237e-08 1.13234587272056e-05
0.096 2.99129291315433e-08 2.99188836809296e-08 1.13199350832904e-05
0.097 2.99013541028096e-08 2.99072986159757e-08 1.13164811202986e-05
0.098 2.98878255683261e-08 2.98937602357579e-08 1.13130952068612e-05
0.099 2.98724199055734e-08 2.98783449158327e-08 1.13097757556844e-05
0.1 2.98552112402023e-08 2.98611267798579e-08 1.13065212222288e-05
0.101 2.98362715037696e-08 2.9842177757341e-08 1.13033301034302e-05
0.102 2.98156705933928e-08 2.98215677380794e-08 1.13002009348709e-05
0.103 2.97934759886942e-08 2.97993642150978e-08 1.12971322959334e-05
0.104 2.97697535372417e-08 2.977563301831e-08 1.12941227991242e-05
0.105 2.97445669138478e-08 2.97504378254541e-08 1.12911710952873e-05
0.106 2.97179779040435e-08 2.97238404197791e-08 1.12882758709314e-05
0.107 2.96900464209872e-08 2.96959007121506e-08 1.1285435847181e-05
0.108 2.96608305549903e-08 2.96666767905759e-08 1.12826497787563e-05
0.109 2.96303866219904e-08 2.96362249686433e-08 1.12799164529866e-05
0.11 2.95987698560433e-08 2.96046004733196e-08 1.12772346885271e-05
0.111 2.95660321079738e-08 2.9571855160401e-08 1.12746033355789e-05
0.112 2.95322247027441e-08 2.9538040351488e-08 1.12720212740958e-05
0.113 2.94973977049716e-08 2.95032061113182e-08 1.12694874119556e-05
0.114 2.94615992701597e-08 2.94674005871049e-08 1.12670006858208e-05
0.115 2.94248760074412e-08 2.94306703864804e-08 1.12645600597004e-05
0.116 2.93872719037062e-08 2.9393059511348e-08 1.12621645215743e-05
0.117 2.93486958054094e-08 2.93544783725764e-08 1.12598124713324e-05
0.118 2.93088765939098e-08 2.9314655542276e-08 1.12575013419326e-05
0.119 2.92679246153299e-08 2.92737000450296e-08 1.12552304300701e-05
0.12 2.92259243431509e-08 2.92316963127713e-08 1.12529989694809e-05
0.121 2.91829532795536e-08 2.91887218670254e-08 1.12508062056348e-05
0.122 2.91390848757413e-08 2.91448501564051e-08 1.12486514000772e-05
0.123 2.90943886646525e-08 2.91001507111302e-08 1.12465338295535e-05
0.124 2.90489304530575e-08 2.90546893354255e-08 1.12444527855574e-05
0.125 2.90027725086985e-08 2.90085282946631e-08 1.12424075739508e-05
